GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
IspwMavenWebApp Maven Webapp,exception,IdException,4,0,0,0,2,0,1,0,1,0
IspwMavenWebApp Maven Webapp,exception,LogoutException,0,4,0,0,0,2,0,1,0,1
IspwMavenWebApp Maven Webapp,controller,ControllerRegistraUtente,11,119,11,11,3,27,11,6,0,6
IspwMavenWebApp Maven Webapp,controller,ControllerReportRaccolta,0,9,0,0,0,3,0,3,0,3
IspwMavenWebApp Maven Webapp,controller,ControllerAcquista,149,307,7,17,30,74,14,16,10,8
IspwMavenWebApp Maven Webapp,controller,ControllerModifPage,0,251,0,0,0,52,0,7,0,7
IspwMavenWebApp Maven Webapp,controller,ControllerScegliNegozio,7,26,0,0,3,8,2,3,2,3
IspwMavenWebApp Maven Webapp,controller,ControllerPassword,11,43,5,3,1,11,4,2,0,2
IspwMavenWebApp Maven Webapp,controller,ControllerRicercaPerTipo,0,51,3,3,0,16,3,4,0,4
IspwMavenWebApp Maven Webapp,controller,ControllerGestionePage,27,90,7,5,8,21,5,7,1,5
IspwMavenWebApp Maven Webapp,controller,ControllerHomePageAfterLogin,0,52,0,2,0,16,0,3,0,2
IspwMavenWebApp Maven Webapp,controller,ControllerSystemState,14,63,1,1,5,27,4,17,3,17
IspwMavenWebApp Maven Webapp,controller,ControllerVisualizzaProfilo,0,22,1,1,0,8,1,3,0,3
IspwMavenWebApp Maven Webapp,controller,ControllerCompravendita,90,103,18,0,27,25,14,8,5,8
IspwMavenWebApp Maven Webapp,controller,ControllerLogin,4,58,2,2,1,16,2,3,0,3
IspwMavenWebApp Maven Webapp,controller,ControllerVisualizza,18,84,0,0,4,18,2,4,2,4
IspwMavenWebApp Maven Webapp,controller,ControllerDownload,39,199,8,10,10,48,9,9,1,6
IspwMavenWebApp Maven Webapp,controller,ControllerAggiungiPage,6,199,4,4,2,41,4,4,0,4
IspwMavenWebApp Maven Webapp,controller,ControllerModificaUtente,0,164,13,13,0,40,13,4,0,4
IspwMavenWebApp Maven Webapp,controller,ControllerPagamentoCC,3,442,9,23,2,84,9,13,0,6
IspwMavenWebApp Maven Webapp,controller,ControllerHomePageAfterLoginSE,5,49,1,1,1,15,1,2,0,2
IspwMavenWebApp Maven Webapp,controller,ControllerVisualizzaOrdine,0,12,0,0,0,4,0,2,0,2
IspwMavenWebApp Maven Webapp,controller,ControllerPagamentoCash,0,197,0,6,0,43,0,5,0,2
IspwMavenWebApp Maven Webapp,controller,ControllerRicercaPage,3,55,0,6,1,14,1,5,1,2
IspwMavenWebApp Maven Webapp,controller,ControllerReportPage,0,32,0,0,0,13,0,5,0,5
IspwMavenWebApp Maven Webapp,database,RivistaDao,342,873,12,22,86,205,10,29,3,19
IspwMavenWebApp Maven Webapp,database,NegozioDao,48,154,7,3,15,45,4,8,0,7
IspwMavenWebApp Maven Webapp,database,LibroDao,182,1029,3,23,55,218,4,30,2,19
IspwMavenWebApp Maven Webapp,database,ContrassegnoDao,25,127,0,4,8,41,0,8,0,6
IspwMavenWebApp Maven Webapp,database,UsersDao,270,782,4,10,77,234,11,26,8,22
IspwMavenWebApp Maven Webapp,database,GiornaleDao,272,898,11,23,79,204,9,30,3,19
IspwMavenWebApp Maven Webapp,database,PagamentoDao,32,184,1,5,10,52,1,9,0,7
IspwMavenWebApp Maven Webapp,database,CartaCreditoDao,18,185,0,4,6,50,0,8,0,6
IspwMavenWebApp Maven Webapp,model,Log,44,4,0,0,14,1,1,1,1,1
IspwMavenWebApp Maven Webapp,model,User.Ruoli,0,27,0,0,0,5,0,1,0,1
IspwMavenWebApp Maven Webapp,model,CartaDiCredito,22,118,0,0,11,38,6,17,6,17
IspwMavenWebApp Maven Webapp,model,User,10,110,0,10,1,43,1,25,1,17
IspwMavenWebApp Maven Webapp,model,TempUser.Ruoli,0,27,0,0,0,5,0,1,0,1
IspwMavenWebApp Maven Webapp,model,Fattura,18,62,0,0,3,26,2,13,2,13
IspwMavenWebApp Maven Webapp,model,Negozio,8,50,0,0,1,20,1,10,1,10
IspwMavenWebApp Maven Webapp,model,TempUser,15,105,1,9,3,41,2,24,1,17
IspwMavenWebApp Maven Webapp,model,Pagamento,27,83,0,0,6,33,4,13,4,13
IspwMavenWebApp Maven Webapp,model.raccolta,CategorieLibro,0,183,0,0,0,10,0,1,0,1
IspwMavenWebApp Maven Webapp,model.raccolta,Giornale,0,178,0,0,0,61,0,24,0,24
IspwMavenWebApp Maven Webapp,model.raccolta,MatchParam,0,70,0,0,0,18,0,3,0,3
IspwMavenWebApp Maven Webapp,model.raccolta,Rivista,63,217,13,2,25,74,13,29,0,28
IspwMavenWebApp Maven Webapp,model.raccolta,CategorieRivista,0,87,0,0,0,5,0,1,0,1
IspwMavenWebApp Maven Webapp,model.raccolta,Libro,232,434,26,24,72,137,28,49,2,36
IspwMavenWebApp Maven Webapp,model.raccolta,Factory,40,258,1,15,7,41,6,14,5,6
IspwMavenWebApp Maven Webapp,utilities,ConnToDb,34,128,1,1,8,39,3,5,2,5
IspwMavenWebApp Maven Webapp,utilities,PopulateDefaultDb,0,162,0,0,0,48,0,7,0,7
IspwMavenWebApp Maven Webapp,utilities,CreateDefaultDB,17,113,4,4,5,35,5,2,1,2
